venue,day,date,time_slot,dance_id,rhd_id,status,attendance_pct,missing_dancers
Sa,Wednesday,12/24/2025,1:00 PM - 5:20 PM,dn_09,rd_04,CAST_CONFLICTS,33.33333333333333,"d_014, d_033"
Sa,Wednesday,12/24/2025,1:00 PM - 5:20 PM,dn_11,rd_06,CAST_CONFLICTS,75.0,"d_005, d_034"
Sa,Wednesday,12/24/2025,1:00 PM - 5:20 PM,dn_13,rd_06,CAST_CONFLICTS,60.0,"d_013, d_014, d_015, d_028"
Sa,Wednesday,12/24/2025,1:00 PM - 5:20 PM,dn_15,rd_02,CAST_CONFLICTS,50.0,"d_014, d_034"
Sa,Wednesday,12/24/2025,1:00 PM - 5:20 PM,dn_16,rd_02,CAST_CONFLICTS,75.0,d_013
Sa,Wednesday,12/24/2025,1:00 PM - 5:20 PM,dn_17,rd_02,CAST_CONFLICTS,83.33333333333334,d_015
Sa,Wednesday,12/24/2025,1:00 PM - 5:20 PM,dn_18,rd_01,CAST_CONFLICTS,60.0,"d_006, d_028"
Sa,Wednesday,12/24/2025,1:00 PM - 5:20 PM,dn_19,rd_07,CAST_CONFLICTS,83.33333333333334,d_033
Sa,Wednesday,12/24/2025,1:00 PM - 5:20 PM,dn_20,rd_07,CAST_CONFLICTS,87.5,d_015
Sa,Wednesday,12/24/2025,1:00 PM - 5:20 PM,dn_21,rd_04,CAST_CONFLICTS,85.71428571428571,d_034
Sa,Wednesday,12/24/2025,1:00 PM - 5:20 PM,dn_22,rd_04,CAST_CONFLICTS,50.0,d_033
Sa,Wednesday,12/24/2025,1:00 PM - 5:20 PM,dn_23,rd_08,CAST_CONFLICTS,71.42857142857143,"d_013, d_015"
Sa,Wednesday,12/24/2025,1:00 PM - 5:20 PM,dn_25,rd_08,CAST_CONFLICTS,84.61538461538461,"d_005, d_028"
Sa,Wednesday,12/24/2025,1:00 PM - 5:20 PM,dn_26,rd_08,CAST_CONFLICTS,72.72727272727273,"d_013, d_014, d_015"
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_06,rd_04,CONFLICT_FREE,100.0,
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_08,rd_04,CONFLICT_FREE,100.0,
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_09,rd_04,CONFLICT_FREE,100.0,
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_10,rd_06,CONFLICT_FREE,100.0,
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_14,rd_02,CONFLICT_FREE,100.0,
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_15,rd_02,CONFLICT_FREE,100.0,
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_16,rd_02,CONFLICT_FREE,100.0,
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_19,rd_07,CONFLICT_FREE,100.0,
Overflow,Sunday,12/28/2025,12:00 PM - 4:00 PM,dn_21,rd_04,CONFLICT_FREE,100.0,
